Aanbieder,Titel,Doelgroep,Tijdsduur,Kosten,Link
WZ2025 (FMS),Artificiële Intelligentie in de Zorg,Algemeen,60-75 minuten,In overleg,https://www.wz2025.nl/2021/11/06/artificiele-intelligentie-in-de-zorg
De Medisch Specialist,Bijeenkomst Succesvolle AI: hoe maak je dat meetbaar,Algemeen,4 uur,€0,https://demedischspecialist.nl/agenda/bijeenkomst-succesvolle-ai-hoe-maak-je-dat-meetbaar
De Medisch Specialist,Netwerk AI,Algemeen,3 uur 45 min,€0,https://demedischspecialist.nl/nieuwsoverzicht/nieuws/netwerk-ai-nooitmeertikken
Data voor Gezondheid (VWS),Opleidingen en Trainingen AI,Algemeen,verschillend,€0,https://www.datavoorgezondheid.nl/ai/opleidingen-en-trainingen
ESCMID,AI & ML in Medical Microbiology Diagnostics,Overig,4 dagen,€350-€750,https://www.escmid.org/event-detail/artificial-intelligence-and-machine-learning-in-medical-microbiology-diagnostics
Radboudumc,Kunstmatige Intelligentie (AI) in de Zorg,Algemeen,n.v.t.,n.v.t.,https://www.radboudumc.nl/over-het-radboudumc/strategie/themas/kunstmatige-intelligentie-ai-in-de-zorg
FutureLearn,How AI Can Support Healthcare,Algemeen,4 weken,€0,https://www.futurelearn.com/courses/how-artificial-intelligence-can-support-healthcare
Erasmus MC,Artificial Intelligence NL,Algemeen,169 uur,€0,https://www.erasmusmc.nl/nl-nl/onderwijs/opleidingen/artificial-intelligence-nl
PHIT Academy,Integrated AI Strategie naar Uitvoering,Overig,1 dag,€795,https://phit.nl/academy/cursus/interop/integrated-ai/integrated-ai-8-oktober-2025
ICT & Health Academy,LabICT voor Beheerders,Klinische chemie,1 dag,€695,https://icthealth.nl/academy/diagnostiek-labict-voor-beheerders
Skipr,Masterclass AI in de Zorg,Algemeen,1 dag,€499,https://www.skipr.nl/events/masterclass-artificial-intelligence-in-de-zorg
Oxford (SBS),Oxford AI Programme,Overig,6 weken,£2300,https://www.sbs.ox.ac.uk/programmes/executive-education/online-programmes/oxford-artificial-intelligence-programme
MIT xPRO,AI Healthcare Course,Algemeen,7 weken,$2650,https://xpro.mit.edu/courses/course-v1:xPRO+AIHCx+R1
Coursera,AI Healthcare Specialization,Overig,2 maanden,€0,https://www.coursera.org/specializations/ai-healthcare
NLAIC,Nationale AI in de Zorg Congres,Algemeen,1 dag,€0,https://nlaic.com/agenda/nationale-ai-in-de-zorg-congres
IQVIA,IQVIA AI in Healthcare Event,Algemeen,1 dag,€0,https://www.events.iqvia.com/event/b3a10e75-f317-400e-ada9-3012bd30640d/summary
NVML,Spring Event 2025,Klinische chemie,1 dag,€133/€190,https://www.nvml.nl/opleiding/agenda/event/81/spring-event-2025/schedule
AI-Certified,AI-Certified Basis + zorg,Algemeen,4+2 uur,€0,https://academy.aicertified.nl
EIT Health,AIProHealth: Data Science and AI in Health Summer School,Algemeen,5 dagen,€350,https://eithealth.eu/programmes/aiprohealth
Nederlandse AI Coalitie,AI voor de zorg,Algemeen,verschillend,€0,https://ai-cursus.nl
RSNA,RSNA Imaging AI Certificate Program,Radiologie,~18 uur,$980,https://www.rsna.org/education/ai-resources/imaging-ai-certificate
DLinRT,DL in RT,Radiotherapie en Oncologie,1 dag,€0,http://www.dlinrt.org
ESR,Masterclass in AI,Radiologie,1 jaar,€410,https://www.myesr.org/education/premium-education-package/
SIIM,AI for Imaging Informatics IT Professionals,Overig,1 dag,$599/$899,https://siim.org/learning-events/learning/ai4it/
European Society of Imaging Informatics,EuSoMII Annual Meeting,Radiologie,2 dagen,€220/€270,https://www.eusomii.org/eusomii-annual-meeting-2025/
EuSoMII,EuSoMII Webinars,Radiologie,1 uur,€0,https://www.eusomii.org/webinars/
American College of Artificial Intelligence and Medicine,Annual National meeting of American College of Artificial Intelligence and Medicine,Algemeen,2 dagen,$300,https://americancollegeaim.org/
